bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,MAILBOXES,59219.86,53969.86,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,MAILBOXES EXTRA WORK,20214.86,14924.43,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,LOBBY ROTUNDA ROOF,274659.1,243359.1,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,ROOF EXTRA WORK,339155.12,112126.26,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,ENTRY/VESTIB. DOORS,165974.17,161072.07,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,DOORS EXTRA WORK,14580.36,14080.36,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,DRIVEWAYS/WALKWAYS,484925,473900,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,DRIVEWAYS EXTRA WORK,442745.87,406408.41,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,DS110006OM,OM,CLOSED,7/2/15,6/9/16,GP,BSK3,EXT & INT ADA RAMPS,774421.02,630374.91,11/6/11
420387,97-05 HORACE HARDING EXPY CORONA NY,11368,2020,0,ET110099OM,OM,CLOSED,8/30/16,6/5/17,GP,RRP-00012-19,GARAGE ROOF,1488231.85,1424148.15,7/1/15
